Sample ID,CD10,CD29,CD73,CD105,CD34,CD44,CD45,Confidence Level of Viability (%)
SMP_0001,91.15230023879988,83.09491650630527,95.73479101262467,86.10861190149414,2.799987545921521,85.99578627813753,0.6387016092992612,82.9723759431238
SMP_0002,87.63740416513865,93.61777686077116,91.93843939293983,83.51250384554194,1.4750448794730668,71.39492673494689,1.2204098994528578,74.80194305113503
SMP_0003,87.22919437614624,105.09444742210509,85.1228500322093,88.41925825587714,-0.5079587076888279,73.95319149872589,0.6759337830561112,77.76046906049696
SMP_0004,76.3887153302124,87.33513763343436,97.77591110464968,80.94367380070717,1.2909615834146426,59.12930754290484,0.04417889454047852,71.17446364029577
SMP_0005,81.39772464662471,87.36811494453694,76.91133932566878,90.96244157720774,0.3947623047397095,77.0587681962383,0.8897187327955053,73.94345619116264
SMP_0006,87.05678815575719,86.07237608313302,84.86940005620556,83.48147895391533,2.4007044446925963,69.1216245228638,0.3217274738567305,71.58068247275848
SMP_0007,87.05191638393445,86.57410035853906,80.74910677438554,82.48091802501263,2.478256105070638,80.79202928689644,1.10215994199416,80.85697104794
SMP_0008,91.07333390066451,70.78290312429331,90.47250078922876,85.13027811090906,-0.48816193762904625,70.48891953257535,0.4064348338583379,73.29735468283891
SMP_0009,84.27566622426953,92.83524770099,81.32161539287694,81.45311902044634,3.1385194558732836,81.04542245549216,0.7559935984139571,82.98911514462998
SMP_0010,87.02912043336907,84.0811347655177,90.59838368044791,86.97209409697889,0.33172054808216234,78.55314239257658,1.0912939021071681,79.74170754845747
SMP_0011,85.08187120965647,78.7281581684574,86.88138150507068,81.77582446411961,4.338773435723527,96.72041773042321,0.8937706374828652,86.37254914166171
SMP_0012,80.06528631749222,95.27232964812784,85.12387634406349,87.81114161691302,1.9268356032490748,84.97217980453193,1.1252151415005225,81.9520659241283
SMP_0013,73.72104334452627,82.42587550470645,90.33188347619986,92.29603923346886,0.1304097521912566,61.60362127437697,1.3401435828588784,78.95818804655548
SMP_0014,87.15504846065038,87.62931662281369,86.38827025637161,80.68406987915095,0.28702089396097774,67.35111155897292,0.42103315013434695,66.92908466011524
SMP_0015,85.86973604206406,100.26509673832007,81.46819094164577,84.21654725622898,2.5221429376810174,80.55208008992334,0.967801229687646,70.60004949598412
SMP_0016,81.90912478949916,80.13548941382841,104.80823793780988,87.76798427821254,1.4130501651524336,70.70152051607349,-0.6647518987540646,78.27590732458212
SMP_0017,76.90413471742067,79.27181235781566,85.07699690182513,82.38485587011156,1.8550191355727887,50.31631569764148,1.1236666508412618,72.39821889459645
SMP_0018,88.14869757204369,91.88514332693637,74.6943455190879,87.78592336495998,4.419170349045559,93.49546313833743,0.8495929348125788,76.69057946860877
SMP_0019,83.67039962902224,98.04641154807258,82.94740786167166,88.33239316391044,0.9511339036563871,87.20224016905408,0.5082751182610143,75.22040335676446
SMP_0020,87.78437361184072,78.97960797587626,80.39633986976362,91.49957065776583,2.08994428654356,85.20976873491772,1.157859711148262,74.62864935023129
SMP_0021,94.3202426520588,92.85382815786024,92.9568736962431,81.36405972349053,4.129766731059579,73.92676954529085,1.5863487885925336,80.01293456624047
SMP_0022,74.29284559840147,94.06699677973185,89.92991595754951,79.34334855861715,2.4057702131996,84.27676771009929,0.7619911262005284,76.3065467726712
SMP_0023,81.50199595648819,75.58587661415376,90.39227681074206,83.15453566261753,-0.40990410303700875,72.95639675779118,0.5275927548791399,75.43236688853503
SMP_0024,83.95312193344043,95.58950936535054,85.77986520497653,79.1934859627174,2.7580835175982052,82.04857300217691,1.0825126312193558,86.51200036058326
SMP_0025,92.27413087073326,96.13624115889526,86.32389851765848,88.38698922428499,0.2554957133248337,70.79416774163522,0.3321966666768197,83.0671767638812
SMP_0026,76.81798490396757,87.81750098720782,85.77441337835398,78.02949219894154,4.110211293099447,95.16288450556014,0.6698093147322304,75.90045438226237
SMP_0027,94.67930512840303,98.76642453608606,87.51284089518718,98.99809850951613,0.7656985925030333,64.29763345918155,1.6112010808252513,73.61736852084374
SMP_0028,85.67927950783145,97.95518902027392,93.01200061218901,92.7755671694425,6.454264261618497,92.32283829510831,1.031089614906144,82.41628646370937
SMP_0029,84.5199966913307,90.72182548002043,90.01645247503208,85.07545461760189,4.201063982491517,80.3891582801733,0.06026651802691685,76.32966953459696
SMP_0030,84.00970118390546,86.83988226772547,91.0006769777252,90.20436695798786,0.805081145558032,75.1053300465801,0.10150417636029951,69.62687222129837
SMP_0031,82.81868483909986,83.1902047519193,90.99735344949522,75.17918881413524,2.0300207075024157,81.67002921695739,1.0810428463233879,80.26306946786436
SMP_0032,90.24058379634577,89.73705543443666,93.30665462429043,100.14023998839735,3.130466422450195,87.3334800717818,1.4311952879588439,79.56021227346174
SMP_0033,79.6573962295878,93.98831243792925,89.72890024924153,81.45871232679707,3.1754907113400614,93.66746736694397,0.19118927068692493,89.16531521138734
SMP_0034,86.72707090821928,87.73076197271551,90.15308843607352,84.27701551660384,2.663504389964296,83.13143023133532,1.2248563037482543,85.46496439333701
